Wind Dir (°),Wind Spd (ms),Wind Gusts 1h (ms),Wave Height (m),Dominant Wave Period (s),Avg Wave Period (s),Dominant Wave Dir,Pressure,Air Temp,Water Temp,dewpoint,Date,Heure
20.0,7.0,10.0,,,,,1020.2,21.4,24.1,,03/02/2025,19:30
30.0,7.0,9.0,3.5,15.0,9.5,40.0,1020.3,21.5,24.1,,03/02/2025,19:20
20.0,7.0,10.0,3.5,,9.5,40.0,1020.1,21.4,24.1,,03/02/2025,19:10
20.0,7.0,9.0,,,,,1020.2,21.4,24.1,,03/02/2025,19:00
10.0,7.0,10.0,3.4,15.0,9.3,33.0,1020.1,21.3,24.1,,03/02/2025,18:50
20.0,8.0,10.0,3.4,,9.3,33.0,1020.2,21.4,24.1,,03/02/2025,18:40
10.0,7.0,9.0,,,,,1020.2,21.4,24.1,,03/02/2025,18:30
10.0,8.0,9.0,3.8,16.0,9.4,38.0,1020.2,21.4,24.1,,03/02/2025,18:20
20.0,8.0,10.0,3.8,,9.4,38.0,1020.1,21.3,24.1,,03/02/2025,18:10
20.0,8.0,11.0,,,,,1020.0,21.4,24.1,,03/02/2025,18:00
20.0,8.0,10.0,3.8,14.0,9.7,29.0,1019.9,21.4,24.1,,03/02/2025,17:50
20.0,7.0,9.0,3.8,,9.7,29.0,1019.8,21.3,24.1,,03/02/2025,17:40
20.0,8.0,10.0,,,,,1019.8,21.3,24.1,,03/02/2025,17:30
20.0,8.0,10.0,3.4,15.0,8.9,27.0,1019.8,21.4,24.1,,03/02/2025,17:20
20.0,8.0,11.0,3.4,,8.9,27.0,1019.7,21.4,24.1,,03/02/2025,17:10
10.0,8.0,10.0,,,,,1019.7,21.4,24.1,,03/02/2025,17:00
10.0,8.0,10.0,3.4,15.0,8.8,22.0,1019.7,21.5,24.1,,03/02/2025,16:50
10.0,8.0,11.0,3.4,,8.8,22.0,1019.5,21.5,24.1,,03/02/2025,16:40
10.0,9.0,12.0,,,,,1019.5,21.5,24.1,,03/02/2025,16:30
10.0,9.0,11.0,3.4,15.0,8.8,32.0,1019.5,21.5,24.1,,03/02/2025,16:20
10.0,9.0,11.0,3.4,,8.8,32.0,1019.4,21.6,24.1,,03/02/2025,16:10
10.0,9.0,12.0,,,,,1019.4,21.6,24.1,,03/02/2025,16:00
360.0,8.0,11.0,3.8,16.0,9.7,30.0,1019.3,21.7,24.1,,03/02/2025,15:50
10.0,9.0,11.0,3.8,,9.7,30.0,1019.3,21.6,24.1,,03/02/2025,15:40
10.0,9.0,12.0,,,,,1019.3,21.6,24.1,,03/02/2025,15:30
10.0,8.0,11.0,3.4,15.0,8.9,30.0,1019.2,21.7,24.1,,03/02/2025,15:20
10.0,8.0,11.0,3.4,,8.9,30.0,1019.1,21.7,24.1,,03/02/2025,15:10
10.0,8.0,11.0,,,,,1019.1,21.7,24.1,,03/02/2025,15:00
10.0,8.0,11.0,3.5,16.0,9.5,32.0,1019.1,21.7,24.1,,03/02/2025,14:50
10.0,8.0,11.0,,,,,1019.1,21.7,24.1,,03/02/2025,14:40
10.0,7.0,10.0,,,,,1019.1,21.8,24.1,,03/02/2025,14:30
360.0,7.0,10.0,3.8,15.0,9.7,32.0,1019.1,21.9,24.1,,03/02/2025,14:20
