wind speed (ms),wind dir (°),wind gusts 1h (ms),T° (C°),T° max 24h (C°),T° min 24h (°),sea level pressure (hPa),Precip 1h (mm),Date,Heure
2.0,354.6,5.7,21.4,21.5,20.9,1018.9,0.0,02/02/2025,19:00
3.0,353.5,5.3,21.4,21.5,20.9,1019.0,0.0,02/02/2025,19:10
3.0,352.3,5.0,21.5,21.5,20.9,1019.1,0.0,02/02/2025,19:20
3.0,351.1,4.6,21.4,21.5,20.9,1019.1,0.0,02/02/2025,19:30
2.0,349.8,4.3,21.6,21.6,20.9,1019.2,0.0,02/02/2025,19:40
3.0,348.5,4.0,21.6,21.6,20.9,1019.3,0.0,02/02/2025,19:50
3.0,347.1,3.6,21.5,21.6,20.9,1019.4,0.0,02/02/2025,20:00
2.0,344.9,3.6,21.6,21.6,20.9,1019.4,0.0,02/02/2025,20:10
2.0,342.6,3.5,21.6,21.6,20.9,1019.5,0.0,02/02/2025,20:20
2.0,340.3,3.4,21.7,21.7,20.9,1019.5,0.0,02/02/2025,20:30
2.0,338.0,3.4,21.7,21.7,20.9,1019.5,0.0,02/02/2025,20:40
3.0,335.7,3.3,21.6,21.7,20.9,1019.6,0.0,02/02/2025,20:50
2.0,333.4,3.3,21.6,21.7,20.9,1019.6,0.0,02/02/2025,21:00
3.0,331.7,3.3,21.6,21.7,20.9,1019.5,0.0,02/02/2025,21:10
2.0,330.2,3.5,21.6,21.7,20.9,1019.5,0.0,02/02/2025,21:20
2.0,328.8,3.6,21.8,21.8,20.9,1019.4,0.0,02/02/2025,21:30
1.0,327.5,3.7,21.8,21.8,20.9,1019.3,0.0,02/02/2025,21:40
1.0,326.3,3.8,21.9,21.9,20.9,1019.3,0.0,02/02/2025,21:50
2.0,325.1,3.9,21.7,21.9,20.9,1019.2,0.0,02/02/2025,22:00
2.0,325.7,4.2,21.8,21.9,20.9,1019.1,0.0,02/02/2025,22:10
2.0,326.2,4.4,21.8,21.9,20.9,1019.0,0.0,02/02/2025,22:20
2.0,326.6,4.6,21.8,21.9,20.9,1018.9,0.0,02/02/2025,22:30
2.0,327.0,4.9,21.7,21.9,20.9,1018.8,0.0,02/02/2025,22:40
2.0,327.3,5.1,21.7,21.9,20.9,1018.7,0.0,02/02/2025,22:50
2.0,327.6,5.3,21.8,21.9,20.9,1018.6,0.0,02/02/2025,23:00
2.0,329.3,5.7,21.8,21.9,20.9,1018.4,0.0,02/02/2025,23:10
2.3,330.7,6.0,21.8,21.9,20.9,1018.2,0.0,02/02/2025,23:20
2.7,331.9,6.4,21.8,21.9,20.9,1018.1,0.0,02/02/2025,23:30
3.0,333.0,6.7,21.8,21.9,20.9,1017.9,0.0,02/02/2025,23:40
4.0,334.0,7.1,21.8,21.9,20.9,1017.8,0.0,02/02/2025,23:50
4.0,334.9,7.4,21.8,21.9,20.9,1017.6,0.0,03/02/2025,00:00
4.0,335.2,7.4,21.8,21.9,20.9,1017.6,0.0,03/02/2025,00:10
5.0,335.4,7.3,21.8,21.9,20.9,1017.6,0.0,03/02/2025,00:20
5.0,335.6,7.3,21.9,21.9,20.9,1017.6,0.0,03/02/2025,00:30
5.0,335.9,7.2,21.9,21.9,20.9,1017.5,0.0,03/02/2025,00:40
5.0,336.1,7.1,21.9,21.9,20.9,1017.5,0.0,03/02/2025,00:50
5.0,336.4,7.4,21.9,21.9,20.9,1017.5,0.0,03/02/2025,01:00
5.0,338.0,7.4,21.9,21.9,20.9,1017.4,0.0,03/02/2025,01:10
5.0,339.5,7.3,21.9,21.9,20.9,1017.4,0.0,03/02/2025,01:20
5.0,340.9,7.4,22.0,22.0,20.9,1017.4,0.0,03/02/2025,01:30
6.0,342.4,7.6,22.0,22.0,20.9,1017.4,0.0,03/02/2025,01:40
6.0,343.7,7.7,22.0,22.0,20.9,1017.3,0.0,03/02/2025,01:50
6.0,345.1,7.8,22.0,22.0,20.9,1017.3,0.0,03/02/2025,02:00
5.0,346.1,7.8,22.0,22.0,20.9,1017.4,0.0,03/02/2025,02:10
5.0,347.2,7.7,22.0,22.0,20.9,1017.4,0.0,03/02/2025,02:20
5.0,348.3,7.7,22.0,22.0,20.9,1017.4,0.0,03/02/2025,02:30
6.0,349.5,7.6,22.0,22.0,20.9,1017.5,0.0,03/02/2025,02:40
5.0,350.6,7.7,22.0,22.0,20.9,1017.5,0.0,03/02/2025,02:50
5.0,351.8,7.8,22.0,22.0,20.9,1017.6,0.0,03/02/2025,03:00
5.0,352.5,7.8,22.0,22.0,20.9,1017.6,0.0,03/02/2025,03:10
5.0,353.3,7.7,22.0,22.0,20.9,1017.6,0.0,03/02/2025,03:20
5.0,354.1,7.7,22.0,22.0,20.9,1017.7,0.0,03/02/2025,03:30
4.0,354.9,7.6,22.1,22.1,20.9,1017.7,0.0,03/02/2025,03:40
3.0,355.7,7.6,22.1,22.1,20.9,1017.7,0.0,03/02/2025,03:50
4.0,356.6,7.6,22.1,22.1,20.9,1017.8,0.0,03/02/2025,04:00
3.0,357.5,7.4,22.1,22.1,20.9,1017.8,0.0,03/02/2025,04:10
3.0,358.4,7.3,22.1,22.1,20.9,1017.9,0.0,03/02/2025,04:20
4.0,359.5,7.2,22.1,22.1,20.9,1018.0,0.0,03/02/2025,04:30
