,wind speed (ms),wind dir (°),wind gusts 1h (ms),T° (C°),T° max 24h (C°),T° min 24h (°),sea level pressure (hPa),Precip 1h (mm),Wind Dir (°),Wind Spd (ms),Wind Gusts 1h (ms),Wave Height (m),Dominant Wave Period (s),Avg Wave Period (s),Dominant Wave Dir,Pressure,Air Temp,Water Temp,Datetime,Wind Speed (m/s)
0,8.0,7.8,11.4,21.7,22.9,20.7,1018.6,0.0,8.9,8.0,11.2,3.4,15.0,9.3,33.0,1019.1,21.7,24.1,03/02/2025-15:00,8.0
1,8.0,8.2,11.5,21.7,22.9,20.7,1018.7,0.0,9.1,8.0,11.25,3.4,15.0,8.9,30.0,1019.1,21.7,24.1,03/02/2025-15:10,8.0
2,8.0,8.6,11.6,21.7,22.9,20.7,1018.7,0.0,9.3,8.0,11.3,3.4,15.0,8.9,30.0,1019.2,21.7,24.1,03/02/2025-15:20,8.0
3,9.0,9.0,11.7,21.6,22.9,20.7,1018.8,0.0,9.5,9.0,11.85,3.4,15.0,9.3,33.0,1019.3,21.6,24.1,03/02/2025-15:30,9.0
4,9.0,9.4,11.8,21.6,22.9,20.7,1018.8,0.0,9.7,9.0,11.4,3.8,15.0,9.7,30.0,1019.3,21.6,24.1,03/02/2025-15:40,9.0
5,8.0,9.8,11.9,21.7,22.9,20.7,1018.8,0.0,184.9,8.0,11.45,3.8,16.0,9.7,30.0,1019.3,21.7,24.1,03/02/2025-15:50,8.0
6,9.0,10.2,12.0,21.6,22.9,20.7,1018.9,0.0,10.1,9.0,12.0,3.4,15.0,9.3,33.0,1019.4,21.6,24.1,03/02/2025-16:00,9.0
7,9.0,10.8,11.9,21.6,22.9,20.7,1018.9,0.0,10.4,9.0,11.45,3.4,15.0,8.8,32.0,1019.4,21.6,24.1,03/02/2025-16:10,9.0
8,9.0,11.5,11.7,21.5,22.9,20.7,1018.9,0.0,10.75,9.0,11.35,3.4,15.0,8.8,32.0,1019.5,21.5,24.1,03/02/2025-16:20,9.0
9,9.0,12.2,11.7,21.5,22.9,20.7,1018.9,0.0,11.1,9.0,11.85,3.4,15.0,9.3,33.0,1019.5,21.5,24.1,03/02/2025-16:30,9.0
10,8.0,12.9,11.8,21.5,22.9,20.7,1019.0,0.0,11.45,8.0,11.4,3.4,15.0,8.8,22.0,1019.5,21.5,24.1,03/02/2025-16:40,8.0
11,8.0,13.7,11.9,21.5,22.9,20.7,1019.0,0.0,11.85,8.0,10.95,3.4,15.0,8.8,22.0,1019.7,21.5,24.1,03/02/2025-16:50,8.0
12,8.0,14.4,12.0,21.4,22.9,20.7,1019.0,0.0,12.2,8.0,11.0,3.4,15.0,9.3,33.0,1019.7,21.4,24.1,03/02/2025-17:00,8.0
13,8.0,15.2,11.9,21.4,22.9,20.7,1019.0,0.0,17.6,8.0,11.45,3.4,15.0,8.9,27.0,1019.7,21.4,24.1,03/02/2025-17:10,8.0
14,8.0,16.0,11.7,21.4,22.9,20.7,1019.0,0.0,18.0,8.0,10.85,3.4,15.0,8.9,27.0,1019.8,21.4,24.1,03/02/2025-17:20,8.0
15,8.0,16.9,11.6,21.3,22.9,20.7,1019.0,0.0,18.45,8.0,10.8,3.4,15.0,9.3,33.0,1019.8,21.3,24.1,03/02/2025-17:30,8.0
16,7.0,17.8,11.4,21.3,22.9,20.7,1019.0,0.0,18.9,7.0,10.2,3.8,15.0,9.7,29.0,1019.8,21.3,24.1,03/02/2025-17:40,7.0
17,8.0,18.8,11.3,21.4,22.9,20.7,1019.0,0.0,19.4,8.0,10.65,3.8,14.0,9.7,29.0,1019.9,21.4,24.1,03/02/2025-17:50,8.0
18,8.0,19.8,11.1,21.4,22.9,20.7,1019.0,0.0,19.9,8.0,11.05,3.4,15.0,9.3,33.0,1020.0,21.4,24.1,03/02/2025-18:00,8.0
19,8.0,19.5,10.9,21.3,22.9,20.7,1019.1,0.0,19.75,8.0,10.45,3.8,15.0,9.4,38.0,1020.1,21.3,24.1,03/02/2025-18:10,8.0
20,8.0,19.2,10.6,21.4,22.9,20.7,1019.2,0.0,14.6,8.0,9.8,3.8,16.0,9.4,38.0,1020.2,21.4,24.1,03/02/2025-18:20,8.0
21,7.0,18.9,10.4,21.4,22.9,20.7,1019.3,0.0,14.45,7.0,9.7,3.4,15.0,9.3,33.0,1020.2,21.4,24.1,03/02/2025-18:30,7.0
22,8.0,18.5,10.1,21.4,22.9,20.7,1019.4,0.0,19.25,8.0,10.05,3.4,15.0,9.3,33.0,1020.2,21.4,24.1,03/02/2025-18:40,8.0
23,7.0,18.2,9.9,21.3,22.9,20.7,1019.5,0.0,14.1,7.0,9.95,3.4,15.0,9.3,33.0,1020.1,21.3,24.1,03/02/2025-18:50,7.0
24,7.0,17.9,9.6,21.4,22.9,20.7,1019.6,0.0,18.95,7.0,9.3,3.4,15.0,9.3,33.0,1020.2,21.4,24.1,03/02/2025-19:00,7.0
25,7.0,19.3,9.5,21.4,22.9,20.7,1019.6,0.0,19.65,7.0,9.75,3.5,15.0,9.5,40.0,1020.1,21.4,24.1,03/02/2025-19:10,7.0
